D,H,LK,LKW,HK,F,Fg,V,Drzewostan
33.5,32.59,12.50,0.384,20.09,0.529,0.528,1.5209,Laliki
47.2,37.79,15.60,0.413,22.19,0.486,0.486,3.2144,Laliki
41.4,35.83,12.70,0.354,23.13,0.443,0.442,2.1350,Laliki
34.7,34.08,15.40,0.452,18.68,0.455,0.454,1.4674,Laliki
43.5,38.48,15.80,0.411,22.68,0.441,0.440,2.5224,Laliki
37.4,35.58,17.40,0.489,18.18,0.476,0.475,1.8589,Laliki
37.8,33.42,10.30,0.308,23.12,0.464,0.463,1.7411,Laliki
43.4,35.36,11.75,0.332,23.61,0.469,0.468,2.4510,Laliki
38.0,34.37,14.70,0.428,19.67,0.445,0.444,1.7365,Laliki
42.6,35.16,14.30,0.407,20.86,0.386,0.385,1.9329,Laliki
43.0,37.16,13.10,0.353,24.06,0.468,0.468,2.5264,Laliki
33.5,33.14,12.50,0.377,20.64,0.537,0.536,1.5687,Laliki
31.3,32.80,10.35,0.316,22.45,0.502,0.501,1.2672,Laliki
39.4,35.92,14.85,0.413,21.07,0.461,0.460,2.0174,Laliki
36.9,34.37,12.15,0.354,22.22,0.460,0.459,1.6890,Laliki
32.9,35.61,14.10,0.396,21.51,0.476,0.475,1.4414,Laliki
50.0,36.98,17.45,0.472,19.53,0.448,0.448,3.2567,Laliki
43.9,34.25,15.20,0.444,19.05,0.471,0.470,2.4406,Laliki
35.3,34.76,16.08,0.463,18.68,0.518,0.517,1.7618,Laliki
35.3,33.43,14.25,0.426,19.18,0.458,0.456,1.4973,Laliki
40.6,34.71,16.10,0.464,18.61,0.505,0.505,2.2711,Laliki
39.2,34.07,19.45,0.571,14.62,0.474,0.473,1.9473,Laliki
46.6,34.44,16.15,0.469,18.29,0.483,0.482,2.8368,Laliki
36.7,33.18,11.55,0.348,21.63,0.482,0.481,1.6912,Laliki
38.8,32.60,12.95,0.397,19.65,0.432,0.431,1.6665,Laliki
34.7,30.54,9.00,0.295,21.54,0.464,0.463,1.3404,Laliki
49.5,35.09,13.15,0.375,21.94,0.445,0.444,3.0020,Laliki
48.9,37.53,15.49,0.413,22.04,0.426,0.426,3.0047,Laliki
29.7,29.05,9.95,0.343,19.10,0.459,0.458,0.9240,Laliki
34.0,31.44,9.65,0.307,21.79,0.471,0.470,1.3457,Laliki
47.8,36.46,,,,0.396,0.395,2.5890,Laliki
39.5,33.67,16.10,0.478,17.57,0.471,0.470,1.9437,Laliki
37.1,33.38,15.00,0.449,18.38,0.508,0.507,1.8334,Laliki
37.8,33.52,16.85,0.503,16.67,0.468,0.467,1.7595,Laliki
34.0,32.11,13.20,0.411,18.91,0.491,0.489,1.4311,Laliki
46.9,37.39,15.90,0.425,21.49,0.499,0.499,3.2266,Laliki
62.5,41.29,22.45,0.544,18.84,0.437,0.437,5.5388,Laliki
39.0,35.02,11.90,0.340,23.12,0.495,0.494,2.0700,Laliki
49.7,38.03,18.00,0.473,20.03,0.454,0.454,3.3515,Laliki
43.5,34.71,,,,0.489,0.488,2.5211,Laliki
36.3,31.61,14.23,0.450,17.38,0.497,0.496,1.6263,Laliki
41.9,36.11,12.90,0.357,23.21,0.488,0.487,2.4285,Laliki
44.6,36.23,,,,0.476,0.475,2.6921,Laliki
41.1,33.96,17.75,0.523,16.21,0.468,0.468,2.1103,Laliki
35.7,32.60,12.43,0.381,20.17,0.553,0.552,1.8052,Laliki
31.1,29.80,10.89,0.365,18.91,0.478,0.476,1.0815,Laliki
28.8,25.65,10.21,0.398,15.44,0.509,0.507,0.8513,Laliki
45.7,35.02,18.62,0.532,16.40,0.476,0.476,2.7358,Laliki
43.8,36.70,,,,0.467,0.466,2.5820,Laliki
44.7,35.68,17.80,0.499,17.88,0.454,0.453,2.5407,Laliki
37.1,30.99,13.88,0.448,17.11,0.461,0.461,1.5456,Laliki
45.3,35.78,17.48,0.489,18.30,0.422,0.422,2.4362,Laliki
48.5,31.88,,,,0.398,0.398,2.3443,Laliki
36.0,29.19,13.95,0.478,15.24,0.543,0.542,1.6146,Laliki
38.4,34.31,18.46,0.538,15.85,0.546,0.545,2.1683,Laliki
41.8,30.61,15.19,0.496,15.42,0.513,0.512,2.1546,Laliki
35.8,29.61,13.84,0.467,15.77,0.466,0.465,1.3898,Laliki
38.9,28.76,15.64,0.544,13.12,0.491,0.490,1.6783,Laliki
42.5,30.46,13.85,0.455,16.61,0.440,0.439,1.9010,Laliki
34.0,27.84,10.65,0.383,17.19,0.470,0.469,1.1877,Laliki
45.2,34.13,17.05,0.500,17.08,0.444,0.443,2.4332,Laliki
29.7,24.95,13.14,0.527,11.81,0.466,0.464,0.8061,Laliki
41.2,32.16,15.30,0.476,16.86,0.429,0.428,1.8388,Laliki
38.4,31.42,12.25,0.390,19.17,0.481,0.480,1.7497,Laliki
38.3,24.77,11.69,0.472,13.08,0.504,0.503,1.4381,Laliki
37.6,30.39,14.87,0.489,15.52,0.437,0.435,1.4732,Laliki
43.8,32.20,12.05,0.374,20.15,0.490,0.489,2.3780,Laliki
40.6,28.80,10.99,0.382,17.81,0.423,0.422,1.5768,Laliki
32.8,30.34,6.70,0.221,23.64,0.482,0.481,1.2346,Laliki
34.7,31.30,13.37,0.427,17.93,0.459,0.458,1.3593,Laliki
39.2,30.37,10.05,0.331,20.32,0.464,0.463,1.7008,Laliki
46.9,33.29,16.25,0.488,17.04,0.454,0.453,2.6095,Laliki
43.1,33.79,15.61,0.462,18.18,0.436,0.435,2.1477,Laliki
40.1,32.32,13.25,0.410,19.07,0.494,0.494,2.0182,Laliki
31.6,29.74,11.00,0.370,18.74,0.469,0.468,1.0948,Laliki
54.3,36.12,21.30,0.590,14.82,0.457,0.457,3.8215,Laliki
48.4,35.54,18.80,0.529,16.74,0.453,0.453,2.9625,Laliki
40.7,35.01,13.35,0.381,21.66,0.453,0.452,2.0617,Laliki
44.7,36.85,19.15,0.520,17.70,0.406,0.406,2.3497,Laliki
39.9,33.75,18.73,0.555,15.02,0.483,0.482,2.0374,Laliki
40.6,34.29,15.40,0.449,18.89,0.447,0.446,1.9835,Laliki
44.2,35.36,17.01,0.481,18.35,0.436,0.436,2.3668,Laliki
53.9,37.77,17.75,0.470,20.02,0.479,0.479,4.1286,Laliki
47.3,33.49,12.25,0.366,21.24,0.410,0.409,2.4108,Laliki
49.5,36.79,15.80,0.430,20.99,0.461,0.460,3.2609,Laliki
38.2,35.87,12.80,0.357,23.07,0.481,0.480,1.9760,Laliki
47.2,36.94,18.75,0.508,18.19,0.473,0.472,3.0569,Laliki
46.5,39.05,17.00,0.435,22.05,0.470,0.469,3.1155,Laliki
45.3,36.34,13.10,0.360,23.24,0.392,0.392,2.2988,Laliki
50.0,35.65,16.97,0.476,18.68,0.421,0.420,2.9458,Laliki
49.6,37.62,16.82,0.447,20.80,0.399,0.399,2.9034,Laliki
52.8,38.77,19.25,0.496,19.52,0.446,0.446,3.7875,Laliki
47.4,37.34,15.30,0.410,22.04,0.508,0.507,3.3460,Laliki
39.4,34.01,12.09,0.355,21.92,0.460,0.460,1.9083,Laliki
49.4,36.85,15.21,0.413,21.64,0.481,0.480,3.3954,Laliki
44.3,35.37,17.32,0.490,18.05,0.415,0.414,2.2627,Laliki
39.5,35.86,12.64,0.352,23.22,0.413,0.413,1.8158,Laliki
42.9,35.45,14.34,0.405,21.11,0.443,0.442,2.2677,Laliki
56.0,38.42,17.24,0.449,21.18,0.418,0.418,3.9581,Laliki
41.5,29.47,12.40,0.421,17.07,0.490,0.490,1.9552,Laliki
38.7,34.11,14.28,0.419,19.83,0.415,0.414,1.6649,Laliki
46.4,40.95,17.59,0.430,23.36,0.438,0.437,3.0305,Laliki
46.7,37.34,16.20,0.434,21.14,0.436,0.435,2.7865,Laliki
37.8,32.88,13.99,0.425,18.89,0.487,0.486,1.7964,Laliki
40.6,31.67,15.11,0.477,16.56,0.456,0.455,1.8705,Laliki
22.2,22.92,3.79,0.165,19.13,0.470,0.465,0.4166,Laliki
39.2,31.19,17.15,0.550,14.04,0.486,0.486,1.8313,Laliki
55.0,35.92,16.47,0.459,19.45,0.398,0.398,3.3979,Laliki
39.9,32.06,15.04,0.469,17.02,0.434,0.433,1.7379,Laliki
44.4,36.51,17.74,0.486,18.77,0.376,0.375,2.1284,Laliki
32.2,29.77,10.34,0.347,19.43,0.509,0.508,1.2341,Laliki
32.2,30.35,12.28,0.405,18.07,0.507,0.506,1.2535,Laliki
38.7,34.96,13.98,0.400,20.98,0.466,0.465,1.9166,Laliki
29.7,30.02,11.82,0.394,18.20,0.544,0.542,1.1311,Laliki
34.1,33.40,12.26,0.367,21.14,0.441,0.439,1.3442,Laliki
34.9,32.67,14.27,0.437,18.40,0.510,0.509,1.5932,Laliki
43.0,36.02,13.42,0.373,22.60,0.491,0.491,2.5695,Laliki
35.8,31.55,15.57,0.493,15.98,0.430,0.429,1.3654,Laliki
56.2,40.63,22.47,0.553,18.16,0.378,0.377,3.8073,Laliki
53.8,41.23,21.37,0.518,19.86,0.360,0.359,3.3719,Laliki
42.1,35.82,19.26,0.538,16.56,0.480,0.479,2.3946,Laliki
43.8,36.37,13.67,0.376,22.70,0.441,0.440,2.4145,Laliki
40.8,37.88,16.04,0.423,21.84,0.489,0.489,2.4241,Laliki
33.4,33.39,13.56,0.406,19.83,0.470,0.468,1.3740,Laliki
30.7,31.59,10.61,0.336,20.98,0.458,0.456,1.0702,Laliki
41.7,34.05,15.35,0.451,18.70,0.463,0.462,2.1525,Laliki
49.2,36.83,20.43,0.555,16.40,0.418,0.418,2.9268,Laliki
50.5,37.23,17.15,0.461,20.08,0.415,0.414,3.0942,Laliki
39.5,36.17,15.50,0.429,20.67,0.441,0.440,1.9537,Laliki
49.6,36.18,16.55,0.457,19.63,0.413,0.412,2.8865,Laliki
46.7,35.52,15.88,0.447,19.64,0.432,0.431,2.6263,Laliki
38.4,32.15,12.83,0.399,19.32,0.433,0.432,1.6133,Laliki
35.9,33.04,17.56,0.531,15.48,0.465,0.464,1.5556,Laliki
50.8,35.11,14.83,0.422,20.28,0.412,0.412,2.9336,Laliki
53.5,38.47,21.15,0.550,17.32,0.458,0.458,3.9649,Laliki
45.8,33.60,13.35,0.397,20.25,0.424,0.423,2.3458,Laliki
50.9,38.80,18.34,0.473,20.46,0.410,0.409,3.2342,Laliki
42.2,33.83,16.42,0.485,17.41,0.483,0.482,2.2837,Laliki
41.5,35.93,16.62,0.463,19.31,0.482,0.481,2.3436,Laliki
34.0,28.59,10.60,0.371,17.99,0.447,0.445,1.1597,Olecki
35.2,28.64,11.90,0.415,16.74,0.478,0.477,1.3315,Olecki
42.6,30.31,18.10,0.597,12.21,0.432,0.431,1.8681,Olecki
32.3,24.75,14.10,0.570,10.65,0.465,0.463,0.9428,Olecki
39.1,29.51,13.40,0.454,16.11,0.444,0.443,1.5741,Olecki
35.0,28.04,12.80,0.456,15.24,0.441,0.440,1.1907,Olecki
30.2,26.55,12.45,0.469,14.10,0.499,0.497,0.9484,Olecki
44.7,29.89,16.05,0.537,13.84,0.436,0.436,2.0473,Olecki
29.9,26.75,13.30,0.497,13.45,0.522,0.520,0.9813,Olecki
40.7,30.28,15.35,0.507,14.93,0.477,0.477,1.8813,Olecki
40.2,30.55,16.50,0.540,14.05,0.507,0.506,1.9661,Olecki
44.2,27.99,,,,0.417,0.416,1.7896,Olecki
41.9,31.53,16.40,0.520,15.13,0.478,0.477,2.0784,Olecki
37.4,29.71,15.10,0.508,14.61,0.435,0.434,1.4189,Olecki
29.7,28.15,11.50,0.409,16.65,0.540,0.538,1.0525,Olecki
41.0,29.39,15.50,0.527,13.89,0.515,0.514,1.9968,Olecki
38.2,29.93,15.10,0.504,14.83,0.472,0.471,1.6197,Olecki
33.6,26.55,14.30,0.539,12.25,0.520,0.518,1.2230,Olecki
46.9,30.23,15.50,0.513,14.73,0.449,0.449,2.3465,Olecki
37.0,28.89,14.50,0.502,14.39,0.489,0.488,1.5191,Olecki
42.0,29.63,18.50,0.624,11.13,0.448,0.447,1.8374,Olecki
39.9,28.50,13.50,0.474,15.00,0.506,0.505,1.8021,Olecki
38.1,27.74,15.50,0.559,12.24,0.451,0.450,1.4277,Olecki
33.1,27.53,9.00,0.327,18.53,0.487,0.486,1.1542,Olecki
42.2,27.59,15.80,0.573,11.79,0.486,0.485,1.8737,Olecki
42.1,29.87,15.80,0.529,14.07,0.459,0.458,1.9091,Olecki
40.4,31.50,10.60,0.337,20.90,0.456,0.455,1.8407,Olecki
41.6,33.91,16.40,0.484,17.51,0.477,0.476,2.1974,Olecki
38.7,29.98,13.20,0.440,16.78,0.427,0.426,1.5054,Olecki
31.9,25.20,9.30,0.369,15.90,0.489,0.487,0.9841,Olecki
40.2,28.96,14.60,0.504,14.36,0.438,0.437,1.6099,Olecki
30.8,23.21,12.91,0.556,10.30,0.458,0.456,0.7919,Olecki
46.3,31.94,14.40,0.451,17.54,0.413,0.412,2.2190,Olecki
26.4,23.84,9.60,0.403,14.24,0.456,0.452,0.5946,Olecki
47.8,30.70,17.90,0.583,12.80,0.457,0.457,2.5182,Olecki
41.6,29.54,18.00,0.609,11.54,0.430,0.429,1.7245,Olecki
36.4,29.01,11.90,0.410,17.11,0.471,0.470,1.4233,Olecki
36.9,28.45,14.10,0.496,14.35,0.450,0.449,1.3693,Olecki
37.5,29.70,14.20,0.478,15.50,0.480,0.479,1.5755,Olecki
55.9,34.69,,,,0.390,0.389,3.3170,Olecki
31.2,25.69,11.59,0.451,14.10,0.487,0.486,0.9570,Olecki
26.0,26.76,7.30,0.273,19.46,0.469,0.465,0.6658,Olecki
37.4,27.25,15.10,0.554,12.15,0.462,0.461,1.3835,Olecki
37.2,26.99,15.70,0.582,11.29,0.508,0.507,1.4887,Olecki
36.7,30.75,17.20,0.559,13.55,0.449,0.447,1.4605,Olecki
50.6,33.35,14.60,0.438,18.75,0.381,0.381,2.5567,Olecki
32.0,26.59,10.50,0.395,16.09,0.462,0.460,0.9872,Olecki
45.6,31.95,15.50,0.485,16.45,0.454,0.453,2.3668,Olecki
36.3,25.45,10.70,0.420,14.75,0.432,0.430,1.1373,Olecki
32.0,28.34,9.95,0.351,18.39,0.458,0.457,1.0447,Olecki
47.5,31.79,14.30,0.450,17.49,0.439,0.438,2.4715,Olecki
35.6,27.05,13.05,0.482,14.00,0.482,0.481,1.2984,Olecki
37.7,28.34,13.55,0.478,14.79,0.453,0.452,1.4346,Olecki
49.7,32.14,16.10,0.501,16.04,0.427,0.427,2.6631,Olecki
43.2,30.45,13.70,0.450,16.75,0.427,0.426,1.9034,Olecki
52.7,32.08,21.90,0.683,10.18,0.389,0.389,2.7258,Olecki
39.7,30.18,15.30,0.507,14.88,0.465,0.464,1.7381,Olecki
30.5,28.15,13.10,0.465,15.05,0.475,0.473,0.9776,Olecki
42.0,30.16,16.40,0.544,13.76,0.486,0.485,2.0328,Olecki
37.4,29.84,10.20,0.342,19.64,0.520,0.519,1.7034,Olecki
43.8,30.13,15.50,0.514,14.63,0.411,0.410,1.8673,Olecki
45.4,32.19,16.90,0.525,15.29,0.434,0.433,2.2610,Olecki
39.3,29.55,14.10,0.477,15.45,0.470,0.469,1.6856,Olecki
35.3,27.18,14.70,0.541,12.48,0.430,0.429,1.1443,Olecki
38.5,32.24,14.45,0.448,17.79,0.430,0.429,1.6142,Olecki
39.2,31.56,16.40,0.520,15.16,0.452,0.451,1.7222,Olecki
40.6,33.21,13.50,0.406,19.71,0.508,0.507,2.1846,Olecki
39.2,28.55,12.40,0.434,16.15,0.475,0.474,1.6367,Olecki
45.1,30.14,17.60,0.584,12.54,0.459,0.459,2.2111,Olecki
34.2,25.99,10.90,0.419,15.09,0.470,0.468,1.1221,Olecki
48.2,31.82,15.30,0.481,16.52,0.460,0.460,2.6736,Olecki
32.5,24.20,15.60,0.645,8.60,0.500,0.499,1.0049,Olecki
42.4,31.81,13.80,0.434,18.01,0.495,0.494,2.2222,Olecki
25.9,21.08,9.10,0.432,11.98,0.489,0.484,0.5428,Olecki
45.3,30.01,15.50,0.517,14.51,0.438,0.438,2.1188,Olecki
31.4,27.59,10.50,0.381,17.09,0.468,0.466,1.0005,Olecki
29.5,22.55,12.45,0.552,10.10,0.493,0.491,0.7598,Olecki
28.3,21.54,13.80,0.641,7.74,0.465,0.463,0.6299,Olecki
54.5,31.84,21.40,0.672,10.44,0.370,0.369,2.7453,Olecki
40.8,30.66,13.10,0.427,17.56,0.484,0.483,1.9386,Olecki
33.5,23.92,16.90,0.707,7.02,0.453,0.451,0.9559,Olecki
27.6,21.81,14.90,0.683,6.91,0.463,0.460,0.6039,Olecki
36.6,28.05,10.50,0.374,17.55,0.454,0.453,1.3391,Olecki
34.0,26.97,13.30,0.493,13.67,0.409,0.407,1.0014,Olecki
34.0,27.08,14.70,0.543,12.38,0.474,0.472,1.1646,Olecki
34.0,27.08,14.70,0.543,12.38,0.474,0.472,1.1644,Olecki
39.9,29.42,15.60,0.530,13.82,0.478,0.477,1.7574,Olecki
40.0,28.53,11.30,0.396,17.23,0.443,0.442,1.5879,Olecki
35.7,28.26,10.50,0.372,17.76,0.461,0.459,1.3038,Olecki
42.8,30.62,16.10,0.526,14.52,0.482,0.482,2.1241,Olecki
21.9,20.75,7.40,0.357,13.35,0.532,0.526,0.4155,Olecki
43.4,30.76,16.10,0.523,14.66,0.467,0.466,2.1250,Olecki
39.4,29.36,19.40,0.661,9.96,0.482,0.481,1.7260,Olecki
41.7,30.84,17.75,0.576,13.09,0.443,0.442,1.8652,Olecki
23.3,20.49,12.60,0.615,7.89,0.502,0.497,0.4386,Olecki
45.9,33.34,18.50,0.555,14.84,0.468,0.467,2.5805,Olecki
48.1,29.09,12.70,0.437,16.39,0.470,0.470,2.4868,Olecki
34.7,30.65,16.60,0.542,14.05,0.514,0.512,1.4887,Olecki
41.7,30.81,16.20,0.526,14.61,0.453,0.452,1.9065,Olecki
45.2,33.34,16.90,0.507,16.44,0.464,0.463,2.4799,Olecki
48.2,27.39,13.20,0.482,14.19,0.422,0.422,2.1113,Olecki
45.9,32.45,13.60,0.419,18.85,0.427,0.426,2.2917,Olecki
44.4,31.81,14.60,0.459,17.21,0.491,0.490,2.4182,Olecki
43.5,30.95,15.60,0.504,15.35,0.474,0.474,2.1814,Olecki
40.6,30.94,14.10,0.456,16.84,0.462,0.461,1.8503,Olecki
43.0,30.95,14.10,0.456,16.85,0.441,0.440,1.9814,Olecki
50.6,33.30,17.60,0.529,15.70,0.405,0.405,2.7146,Olecki
43.4,32.01,21.90,0.684,10.11,0.468,0.467,2.2143,Olecki
41.2,32.24,14.55,0.451,17.69,0.493,0.492,2.1198,Olecki
48.8,33.59,12.90,0.384,20.69,0.459,0.458,2.8819,Olecki
44.4,30.88,17.70,0.573,13.18,0.475,0.475,2.2731,Olecki
50.4,30.36,14.60,0.481,15.76,0.484,0.483,2.9318,Olecki
43.5,31.25,16.10,0.515,15.15,0.454,0.454,2.1091,Olecki
44.4,30.04,14.10,0.469,15.94,0.454,0.454,2.1139,Olecki
33.5,27.26,9.00,0.330,18.26,0.485,0.484,1.1657,Olecki
50.7,33.81,16.50,0.488,17.31,0.454,0.453,3.0965,Olecki
43.6,29.51,16.30,0.552,13.21,0.507,0.507,2.2355,Olecki
46.0,32.28,14.20,0.440,18.08,0.459,0.458,2.4603,Olecki
47.3,33.49,14.90,0.445,18.59,0.400,0.399,2.3533,Olecki
45.7,33.08,18.98,0.574,14.10,0.443,0.442,2.4013,Olecki
44.6,31.93,17.20,0.539,14.73,0.425,0.424,2.1214,Olecki
36.9,29.29,10.40,0.355,18.89,0.417,0.416,1.3075,Olecki
43.5,30.19,15.50,0.514,14.69,0.481,0.480,2.1577,Olecki
42.1,30.22,16.70,0.553,13.52,0.480,0.480,2.0210,Olecki
41.3,30.71,14.20,0.462,16.51,0.499,0.498,2.0526,Olecki
40.9,30.44,16.80,0.552,13.64,0.465,0.464,1.8602,Olecki
46.4,29.18,14.00,0.480,15.18,0.453,0.453,2.2371,Olecki
50.0,29.76,16.67,0.560,13.09,0.425,0.424,2.4829,Olecki
40.4,26.40,13.50,0.511,12.90,0.489,0.488,1.6539,Olecki
42.5,31.09,18.00,0.579,13.09,0.420,0.419,1.8513,Olecki
33.7,27.49,11.39,0.414,16.10,0.464,0.463,1.1386,Olecki
32.5,25.93,13.23,0.510,12.70,0.494,0.492,1.0620,Olecki
33.4,25.19,10.10,0.401,15.09,0.477,0.475,1.0523,Olecki
34.4,26.59,14.59,0.549,12.00,0.413,0.411,1.0216,Olecki
43.8,30.27,13.38,0.442,16.89,0.446,0.445,2.0340,Olecki
31.9,27.97,11.18,0.400,16.79,0.459,0.457,1.0262,Olecki
35.2,25.01,12.42,0.497,12.59,0.487,0.486,1.1860,Olecki
37.9,28.62,12.43,0.434,16.19,0.452,0.450,1.4584,Olecki
31.4,27.36,11.16,0.408,16.20,0.474,0.472,1.0043,Olecki
35.8,25.64,9.94,0.388,15.70,0.450,0.449,1.1622,Olecki
34.9,27.93,11.74,0.420,16.19,0.458,0.456,1.2229,Olecki
42.4,30.88,13.90,0.450,16.98,0.493,0.492,2.1482,Olecki
48.0,29.56,12.07,0.408,17.49,0.501,0.500,2.6794,Olecki
40.5,31.84,16.84,0.529,15.00,0.430,0.429,1.7650,Olecki
40.2,28.49,10.89,0.382,17.60,0.494,0.493,1.7845,Olecki
35.1,28.63,9.84,0.344,18.79,0.432,0.430,1.1962,Olecki
55.8,33.35,17.76,0.532,15.59,0.426,0.426,3.4762,Olecki
38.1,29.94,10.00,0.334,19.94,0.451,0.450,1.5404,Olecki
37.1,28.08,10.10,0.360,17.98,0.462,0.461,1.4033,Olecki
40.0,29.85,10.25,0.343,19.60,0.384,0.383,1.4400,Olecki
43.2,30.79,11.09,0.360,19.70,0.432,0.431,1.9483,Olecki
53.0,32.87,17.78,0.541,15.09,0.413,0.412,2.9946,Olecki
43.1,29.76,12.56,0.422,17.20,0.388,0.387,1.6829,Olecki
38.2,29.87,11.58,0.388,18.29,0.514,0.513,1.7599,Olecki
40.8,29.94,10.35,0.346,19.59,0.436,0.436,1.7087,Olecki
40.3,29.55,12.45,0.421,17.10,0.491,0.490,1.8494,Olecki
48.7,32.74,14.44,0.441,18.30,0.475,0.474,2.8937,Olecki
34.9,27.67,8.30,0.300,19.37,0.530,0.529,1.4041,Olecki
39.4,28.93,10.33,0.357,18.60,0.461,0.461,1.6274,Olecki
39.0,29.54,15.00,0.508,14.54,0.488,0.487,1.7232,Olecki
47.8,31.54,15.55,0.493,15.99,0.468,0.467,2.6478,Olecki
48.5,30.14,14.15,0.470,15.99,0.439,0.438,2.4432,Olecki
34.9,29.89,10.40,0.348,19.49,0.475,0.473,1.3577,Olecki
41.7,32.08,11.79,0.368,20.29,0.476,0.475,2.0857,Olecki
39.7,31.13,12.03,0.386,19.10,0.431,0.431,1.6625,Olecki
43.9,31.84,13.65,0.429,18.19,0.401,0.400,1.9324,Olecki
41.9,32.07,16.88,0.526,15.19,0.458,0.457,2.0256,Olecki
39.2,28.66,9.86,0.344,18.80,0.394,0.393,1.3615,Olecki
43.0,31.53,10.83,0.344,20.70,0.445,0.444,2.0383,Olecki
39.9,29.63,10.33,0.349,19.30,0.478,0.477,1.7695,Olecki
40.1,32.07,12.57,0.392,19.50,0.500,0.499,2.0241,Olecki
37.8,28.78,10.29,0.357,18.49,0.425,0.424,1.3741,Olecki
32.8,25.59,11.59,0.453,14.00,0.468,0.467,1.0128,Olecki
42.6,30.99,15.89,0.513,15.10,0.423,0.422,1.8701,Olecki
51.9,33.06,16.00,0.484,17.06,0.443,0.443,3.0987,Olecki
49.2,30.62,18.22,0.595,12.40,0.461,0.461,2.6832,Olecki
46.7,30.29,16.40,0.541,13.89,0.479,0.478,2.4836,Olecki
51.5,33.35,17.76,0.533,15.59,0.441,0.441,3.0667,Olecki
56.4,34.91,21.62,0.619,13.29,0.417,0.417,3.6390,Olecki
37.1,30.93,14.53,0.470,16.40,0.502,0.501,1.6783,Olecki
41.7,30.92,14.53,0.470,16.39,0.476,0.475,2.0099,Olecki
51.6,32.54,19.45,0.598,13.09,0.462,0.461,3.1427,Olecki
41.5,32.14,17.05,0.530,15.09,0.486,0.486,2.1149,Olecki
43.6,30.20,18.11,0.600,12.09,0.429,0.428,1.9357,Olecki
45.2,29.35,15.06,0.513,14.29,0.463,0.462,2.1784,Olecki
47.2,32.02,15.83,0.494,16.19,0.441,0.441,2.4724,Olecki
61.1,33.75,19.46,0.577,14.29,0.440,0.439,4.3505,Olecki
51.0,32.68,17.69,0.541,14.99,0.401,0.401,2.6789,Olecki
36.5,31.48,14.98,0.476,16.50,0.492,0.491,1.6216,Olecki
26.1,25.20,7.80,0.309,17.40,0.510,0.508,0.6882,Olecki
29.3,24.90,9.20,0.369,15.70,0.431,0.428,0.7240,Olecki
27.8,25.82,10.52,0.407,15.30,0.513,0.511,0.8040,Olecki
28.0,24.58,9.98,0.406,14.60,0.487,0.484,0.7364,Olecki
35.9,28.55,14.65,0.513,13.90,0.460,0.458,1.3288,Olecki
42.6,30.24,15.84,0.524,14.40,0.480,0.479,2.0690,Olecki
47.3,31.61,18.02,0.570,13.59,0.458,0.458,2.5452,Olecki
45.9,28.90,14.60,0.505,14.30,0.455,0.454,2.1762,Olecki
39.8,30.01,16.91,0.564,13.10,0.410,0.409,1.5315,Olecki
33.3,27.31,13.21,0.484,14.10,0.482,0.481,1.1462,Olecki
39.4,29.73,14.73,0.495,15.00,0.410,0.409,1.4857,Olecki
53.0,36.36,22.47,0.618,13.89,0.472,0.472,3.7877,Olecki
55.9,34.49,17.70,0.513,16.79,0.404,0.404,3.4199,Olecki
49.7,34.60,19.71,0.570,14.89,0.491,0.490,3.2931,Olecki
39.2,28.48,12.28,0.431,16.20,0.499,0.498,1.7154,Olecki
33.0,27.86,9.86,0.354,18.00,0.504,0.503,1.2012,Olecki
30.6,25.38,11.68,0.460,13.70,0.465,0.463,0.8675,Olecki
40.1,30.15,14.45,0.479,15.70,0.422,0.420,1.6049,Olecki
46.2,31.68,15.88,0.501,15.80,0.463,0.463,2.4610,Olecki
39.9,28.65,13.05,0.456,15.60,0.456,0.455,1.6343,Olecki
40.7,27.48,9.49,0.345,17.99,0.492,0.492,1.7610,Olecki
38.7,26.56,11.57,0.436,14.99,0.467,0.466,1.4590,Olecki
37.4,29.14,10.74,0.369,18.40,0.486,0.485,1.5556,Olecki
34.7,27.02,11.23,0.416,15.79,0.485,0.483,1.2390,Olecki
37.5,29.38,15.18,0.517,14.20,0.492,0.491,1.5965,Olecki
37.9,27.50,12.71,0.462,14.79,0.451,0.451,1.4004,Olecki
39.3,27.79,11.79,0.424,16.00,0.448,0.447,1.5099,Olecki
41.9,31.54,15.65,0.496,15.89,0.485,0.485,2.1109,Olecki
36.9,30.51,16.31,0.535,14.20,0.500,0.500,1.6327,Olecki
48.5,32.57,13.48,0.414,19.09,0.420,0.419,2.5266,Olecki
42.4,28.54,16.44,0.576,12.10,0.505,0.504,2.0358,Olecki
49.0,30.38,15.08,0.496,15.30,0.391,0.391,2.2401,Olecki
35.3,27.16,14.17,0.522,12.99,0.472,0.470,1.2541,Olecki
38.1,27.37,12.48,0.456,14.89,0.495,0.494,1.5439,Olecki
32.7,26.68,11.18,0.419,15.50,0.529,0.528,1.1857,Olecki
34.3,27.79,12.59,0.453,15.20,0.503,0.502,1.2923,Olecki
35.1,26.52,10.73,0.405,15.79,0.465,0.463,1.1930,Olecki
40.3,31.05,11.85,0.382,19.20,0.478,0.477,1.8927,Olecki
40.2,27.68,9.18,0.332,18.50,0.440,0.439,1.5447,Olecki
42.5,29.51,10.11,0.343,19.40,0.464,0.464,1.9441,Olecki
36.5,29.38,9.78,0.333,19.60,0.468,0.467,1.4385,Olecki
